info: [F: 7983] timeMs,evt,a,b,c,d,s
96144,1,0,19.3,19.9308927094102,2.6531991560432,OL:0>0
96144,5,1.21382145811796,1.5,-0.0606223020747543,2.6531991560432,
97768,1,0,18.5,19.4647884610046,2.66532361645815,OL:0>0
97768,5,1.30704230779908,1.5,-0.14171869134093,2.66532361645815,
99358,1,0,18.9,19.2803945898925,2.69366735472634,OL:0>0
99358,5,1.3439210820215,1.5,-0.150253727295164,2.69366735472634,
100879,1,0,19.8,19.4485788182198,2.72371810018537,OL:0>0
100879,5,1.31028423635604,1.5,-0.0865661361706671,2.72371810018537,
102482,1,0,18.8,19.2370545470743,2.74103132741951,OL:0>0
102482,5,1.35258909058515,1.5,-0.111557763165645,2.74103132741951,
104249,1,0,17,18.4885562986976,2.76334288005263,OL:0>0
104249,5,1.50228874026049,1.5,-0.238945860207854,2.76334288005263,
105844,1,0,18.9,18.6246193773551,2.8111320520942,OL:0>0
105844,5,1.47507612452898,1.5,-0.163944072434774,2.8111320520942,
107491,1,0,18.3,18.5170791035135,2.84392086658116,OL:0>0
107491,5,1.49658417929729,1.5,-0.152663312716133,2.84392086658116,
109285,1,0,16.8,17.9366257713127,2.87445352912439,OL:0>0
109285,5,1.61267484573746,1.5,-0.238221316613071,2.87445352912439,
110764,1,0,20.3,18.7095164038382,2.922097792447,OL:0>0
110764,5,1.45809671923237,1.5,-0.0359989267853661,2.922097792447,
112393,1,0,18.5,18.6406217879417,2.92929757780407,OL:0>0
112393,5,1.47187564241167,1.5,-0.042578064607593,2.92929757780407,
114089,1,0,17.7,18.3277395506708,2.93781319072559,OL:0>0
114089,5,1.53445208986584,1.5,-0.0966388991402433,2.93781319072559,
115631,1,0,19.5,18.711572434589,2.95714097055364,OL:0>0
115631,5,1.4576855130822,1.5,-0.000544542528560549,2.95714097055364,
118577,1,1,21,19.5815499649964,2.14184500350036,OL:0>1
118577,5,1.28369000700072,1.5,-0.641845003500362,2.14184500350036,
121505,1,1,20.5,19.9510042689766,2.23326857380241,OL:0>1
121505,5,1.20979914620468,1.5,-0.476530572402269,2.23326857380241,
124280,1,1,21.7,20.6587814174585,2.25779697343467,OL:0>1
124280,5,1.06824371650829,1.5,-0.31044674307362,2.25779697343467,
127190,1,1,20.7,20.6756919512518,2.31819526867007,OL:0>1
127190,5,1.06486160974964,1.5,-0.246666341079569,2.31819526867007,
130389,1,1,18.8,19.8841117240012,2.44668655961105,OL:0>1
130389,5,1.22317765519977,1.5,-0.276491095588721,2.44668655961105,
133524,1,1,19.2,19.5941824783327,2.53097770329564,OL:0>1
133524,5,1.28116350433346,1.5,-0.250185801037823,2.53097770329564,
136839,1,1,18.1,18.9512386044643,2.64530925089004,OL:0>1
136839,5,1.40975227910714,1.5,-0.264443028217097,2.64530925089004,
139721,1,1,20.9,19.7660089869681,2.61672081828308,OL:0>1
139721,5,1.24679820260637,1.5,-0.130077384323294,2.61672081828308,
142707,1,1,20.1,19.9054455131278,2.62879264253177,OL:0>1
142707,5,1.21891089737445,1.5,-0.0901182548426718,2.62879264253177,
145648,1,1,20.5,20.1526294707843,2.62209789773466,OL:0>1
145648,5,1.16947410584314,1.5,-0.0473762081084871,2.62209789773466,
148781,1,1,19.2,19.7509565306007,2.67174043337471,OL:0>1
148781,5,1.24980869387985,1.5,-0.0780682605051431,2.67174043337471,
152113,1,1,18.1,19.0407982255377,2.75836991598205,OL:0>1
152113,5,1.39184035489247,1.5,-0.133470438910423,2.75836991598205,
155298,1,1,18.9,18.9805182609851,2.79109200021939,OL:0>1
155298,5,1.40389634780299,1.5,-0.112804347583597,2.79109200021939,
158313,1,1,20,19.4105781847971,2.77064687735491,OL:0>1
158313,5,1.31788436304059,1.5,-0.0472374856856773,2.77064687735491,
160915,1,1,23.1,20.9065812605704,2.63049406691471,OL:0>1
160915,5,1.01868374788592,1.5,0.111810319028793,2.63049406691471,
163977,1,2,29.9,24.6329424394584,1.68227434140555,OL:1>2
163977,5,0.27341151210832,1.5,-0.0911371707027733,1.68227434140555,
