timeMs,evt,a,b,c,d,s
347798,5,-0.426816197078979,-1.5,-0.0664702173196144,-1.99328641439859,
347798,2,2,0,30.1,0,MEDIUM
348803,1,0,29.9,28.4514942909136,-2.01720384606456,CL
348803,5,-0.612873572728404,-1.5,0.095669726663848,-2.01720384606456,
349787,1,0,30.5,29.0752567456206,-2.06752591413268,CL
349787,5,-0.768814186405153,-1.5,0.201288272272477,-2.06752591413268,
350795,1,0,29.8,29.284277271022,-2.11823459485724,CL
350795,5,-0.821069317755494,-1.5,0.202834722898255,-2.11823459485724,
351867,1,0,28,28.920228910352,-2.14059912140339,CL
351867,5,-0.730057227588,-1.5,0.0894581061846086,-2.14059912140339,
352795,1,0,32.4,29.8715845396252,-2.20605852410397,CL
352795,5,-0.967896134906295,-1.5,0.261837610802323,-2.20605852410397,
353790,1,0,30.2,29.9607863587119,-2.26288613721877,CL
353790,5,-0.990196589677983,-1.5,0.227310452459209,-2.26288613721877,
355039,1,0,24.1,28.2967296405523,-2.22514539180264,CL
355039,5,-0.57418241013808,-1.5,-0.150962981664555,-2.22514539180264,
356758,1,0,17.5,24.9161990240929,0.974073735353246,CL
356758,5,0.270950243976773,1.5,-0.796876508623527,0.974073735353246,
358796,1,0,14.8,21.4689649719041,1.30581073968739,CL
358796,5,1.13275875702398,1.5,-1.32694801733659,1.30581073968739,
358796,2,0,1,14.8,0,MEDIUM
361780,1,1,20.2,20.9741538704846,1.64542200836763,CL
361780,5,1.25646153237885,1.5,-1.11103952401122,1.64542200836763,
365037,1,1,18.5,19.9421231796436,2.02243451679602,CL
365037,5,1.5144692050891,1.5,-0.992034688293073,2.02243451679602,
365037,2,1,2,18.5,0,LOW
368376,1,2,27,22.9692876859005,1.66586129497421,CL
368376,5,0.757678078524879,1.5,-0.591816783550667,1.66586129497421,
371658,1,2,27.5,24.9214915002931,1.42632061904569,CL
371658,5,0.269627124926716,1.5,-0.343306505881024,1.42632061904569,
374662,1,2,30,27.0666202425886,-1.89829168253226,CL
374662,5,-0.266655060647138,-1.5,-0.131636621885125,-1.89829168253226,
374662,2,2,0,30,0,MEDIUM
374944,4,0,30,26,0,MEDIUM
376203,1,0,23.9,26.7693729714474,-1.53846864857237,CL
376203,5,-0.192343242861846,-1.5,0.153874594289477,-1.53846864857237,
377488,1,0,23.4,25.4320551490511,1.49762232368955,CL
377488,5,0.141986212737234,1.5,-0.144363889047683,1.49762232368955,
379055,1,0,19.2,23.2113535341172,1.63753018224578,CL
379055,5,0.697161616470711,1.5,-0.559631434224928,1.63753018224578,
379055,2,0,2,19.2,0,LOW
382063,1,2,30,25.9033844610154,1.2559174658261,CL
382063,5,0.0241538847461564,1.5,-0.268236418920061,1.2559174658261,
385065,1,2,30,27.5856089772919,-1.99884307837393,CL
385065,5,-0.39640224432298,-1.5,-0.102440834050946,-1.99884307837393,
385065,2,2,0,30,0,MEDIUM
386370,1,0,23,25.9754701158832,-1.52989970674202,CL
386370,5,0.00613247102918812,-1.13205173824871,-0.403980439522491,-1.52989970674202,
387693,1,0,22.7,24.908040159644,1.23631961722316,CL
387693,5,0.272989960088995,1.5,-0.536670342865838,1.23631961722316,
389098,1,0,21.4,23.7923033124338,1.39944052815684,CL
389098,5,0.551924171891553,1.5,-0.652483643734717,1.39944052815684,
389098,2,0,1,21.4,0,MEDIUM
392346,1,1,18.5,21.7214134095786,1.84057074233206,CL
392346,5,1.06964664760535,1.5,-0.729075905273293,1.84057074233206,
394958,1,1,23,22.2262723799846,1.91065707782582,CL
394958,5,0.943431905003862,1.5,-0.532774827178038,1.91065707782582,
394958,2,1,2,23,0,LOW
397960,1,2,30,25.4138844633916,1.4328164946368,CL
397960,5,0.14652888415209,1.5,-0.213712389515292,1.4328164946368,
401160,1,2,28.2,26.5895745456283,-1.73998420920353,CL
401160,5,-0.14739363640708,-1.5,-0.0925905727964546,-1.73998420920353,
401160,2,2,0,28.2,0,MEDIUM
402584,1,0,21.1,24.6091014891318,1.37755755818058,CL
402584,5,0.347724627717049,1.5,-0.470167069536467,1.37755755818058,
403784,1,0,25,24.7360167027652,1.4652452114062,CL
403784,5,0.315995824308691,1.5,-0.350750612902487,1.4652452114062,
403784,2,0,1,25,0,MEDIUM
405919,1,1,28.2,25.947992317666,1.35359899175159,CL
405919,5,0.0130019205835055,1.5,-0.159402928831915,1.35359899175159,
408695,1,1,21.7,24.3101669289808,1.63115338582075,CL
408695,5,0.422458267754807,1.5,-0.291304881934053,1.63115338582075,
410695,1,1,30,26.4114515621822,-1.62577833277265,CL
410695,5,-0.102862890545544,-1.5,-0.022915442227102,-1.62577833277265,
410695,2,1,0,30,0,MEDIUM
411708,1,0,29.7,27.4638127768785,-1.67381330506204,CL
411708,5,-0.365953194219619,-1.5,0.192139889157579,-1.67381330506204,
411726,4,0,29.7,26,0,MEDIUM
412830,1,0,27.2,28.5267626990144,-1.62633813495072,CL
