timeMs,evt,a,b,c,d,s
157369,5,-0.0171285685670979,-0.555428228051746,-0.392621860190577,-0.96517865680942,
159343,1,1,30.4,27.6138031583865,-2.06301938933727,CL
159343,5,-0.403450789596622,-1.5,-0.159568599740652,-2.06301938933727,
161337,1,1,30.1,28.5023485668156,-2.16438748065351,CL
161337,5,-0.625587141703908,-1.5,-0.0388003389496073,-2.16438748065351,
161337,2,1,0,30.1,0,MEDIUM
162344,1,0,29.8,28.9100342410686,-2.17701169657624,CL
162344,5,-0.727508560267156,-1.5,0.0504968636909126,-2.17701169657624,
163352,1,0,29.8,29.1710364630969,-2.20016118041584,CL
163352,5,-0.792759115774219,-1.5,0.0925979353583807,-2.20016118041584,
164346,1,0,30.2,29.4611588484806,-2.2331868867567,CL
164346,5,-0.86528971212014,-1.5,0.132102825363442,-2.2331868867567,
165336,1,0,30.3,29.6925648713362,-2.27117775297217,CL
165336,5,-0.923141217834059,-1.5,0.151963464861888,-2.27117775297217,
166339,1,0,29.9,29.7492656848241,-2.30440548661894,CL
166339,5,-0.937316421206025,-1.5,0.132910934587083,-2.30440548661894,
167464,1,0,26.7,28.9002976027799,-2.28853926943415,CL
167464,5,-0.725074400694966,-1.5,-0.0634648687391801,-2.28853926943415,
168834,1,0,21.9,26.8457484990686,-2.17311884050075,CL
168834,5,-0.211437124767159,-1.5,-0.46168171573359,-2.17311884050075,
170412,1,0,19,24.4060346119318,1.04120319700281,CL
170412,5,0.39849134701705,1.5,-0.857288150014239,1.04120319700281,
172340,1,0,15.6,21.4560107073558,1.36016202223446,CL
172340,5,1.13599732316104,1.5,-1.27583530092658,1.36016202223446,
172340,2,0,1,15.6,0,MEDIUM
175765,1,1,17.5,19.8582772511744,1.85498910084699,CL
175765,5,1.5354306872064,1.5,-1.18044158635941,1.85498910084699,
178445,1,1,22.4,20.879717149701,1.93786143333988,CL
178445,5,1.28007071257476,1.5,-0.842209279234872,1.93786143333988,
178445,2,1,2,22.4,0,LOW
181422,1,2,30.2,24.7160907490941,1.40296812929812,CL
181422,5,0.32097731272648,1.5,-0.418009183428357,1.40296812929812,
184415,1,2,30.1,26.9531999330783,-1.92356671774664,CL
184415,5,-0.238299983269566,-1.5,-0.185266734477073,-1.92356671774664,
187466,1,2,29.5,28.0198337909373,-2.08206291145871,CL
187466,5,-0.504958447734315,-1.5,-0.0771044637243924,-2.08206291145871,
187466,2,2,0,29.5,0,MEDIUM
188416,1,0,31.6,29.2350015553098,-2.12740040693246,CL
188416,5,-0.808750388827447,-1.5,0.181349981894992,-2.12740040693246,
189409,1,0,30.2,29.5292643879586,-2.1783835449439,CL
189409,5,-0.882316096989659,-1.5,0.203932552045763,-2.1783835449439,
190403,1,0,30.2,29.722382407828,-2.22882595634652,CL
